dms,epoch,avg_zero_shot_fitness_spearman
C6KNH7_9INFA_Lee_2018,-1,0.48307713063017055
C6KNH7_9INFA_Lee_2018,0,0.44922106984134325
C6KNH7_9INFA_Lee_2018,1,0.3616932833746971
C6KNH7_9INFA_Lee_2018,2,0.2984818416544965
C6KNH7_9INFA_Lee_2018,3,0.2664476086899716
C6KNH7_9INFA_Lee_2018,4,0.25238892027837173
CALM1_HUMAN_Weile_2017,-1,0.21165612555022323
CALM1_HUMAN_Weile_2017,0,0.2426426211387194
CALM1_HUMAN_Weile_2017,1,0.2563953385604757
CALM1_HUMAN_Weile_2017,2,0.2671337801597207
CALM1_HUMAN_Weile_2017,3,0.2683123111111016
CALM1_HUMAN_Weile_2017,4,0.27086439800796763
CAPSD_AAV2S_Sinai_2021,-1,0.27637354946849657
CAPSD_AAV2S_Sinai_2021,0,0.31631882834687586
CAPSD_AAV2S_Sinai_2021,1,0.35188429810939986
CAPSD_AAV2S_Sinai_2021,2,0.375963325360952
CAPSD_AAV2S_Sinai_2021,3,0.4060295680981477
CAPSD_AAV2S_Sinai_2021,4,0.4169445897146017
CAR11_HUMAN_Meitlis_2020_gof,-1,0.327416632473427
CAR11_HUMAN_Meitlis_2020_gof,0,0.26638144255369284
CAR11_HUMAN_Meitlis_2020_gof,1,0.2686497252741863
CAR11_HUMAN_Meitlis_2020_gof,2,0.2803319244397821
CAR11_HUMAN_Meitlis_2020_gof,3,0.2872807108811267
CAR11_HUMAN_Meitlis_2020_gof,4,0.290493442145633
CAR11_HUMAN_Meitlis_2020_lof,-1,0.5016684178025437
CAR11_HUMAN_Meitlis_2020_lof,0,0.44553884737984567
CAR11_HUMAN_Meitlis_2020_lof,1,0.43729405138915395
CAR11_HUMAN_Meitlis_2020_lof,2,0.4356292184326293
CAR11_HUMAN_Meitlis_2020_lof,3,0.43219536944316456
CAR11_HUMAN_Meitlis_2020_lof,4,0.43571152466411434
